"RelativePath","TopLevel","SourceSize","SourceHash","TargetHash","Decision"
"docs\v2\BILLING-INTEGRATIONS-ADMIN.md","docs","864","EEB3F4A92399E3E70E4B1DFF3FBA319EAFA71E14B0D977E8DBD62A09D8664A09","","MISSING"
"docs\v2\SECURITY-CONTROLS.md","docs","567","5D3F2103936D0FCA626CEDB26B9283091FB0E2CB129B32F03DA5B1AFF0E7926A","","MISSING"
"docs\v2\V2.0-VALIDATION.json","docs","216","12F677A9BF33C277C3DBCB4F839C1A1030A1D13BF0C2E5F571C184B7FEFE8140","","MISSING"
"docs\workflows\GOLDEN-WORKFLOW.md","docs","1659","DADB6D7C3DEFE411A9809CF2386900CEFDE9DC105737982197B09513C22D1066","","MISSING"
"lib\agents\permissions.ts","lib","1813","BDBAFF0C7AD48D2DC766FA03ED322881A7BF59DAF68BED019850B6CFCD2A7C0B","","MISSING"
"lib\agents\registry.ts","lib","1275","B91C532B5998E66A09F0C160B8E763BCE2A534EB717270676064784E73BD3A16","","MISSING"
"lib\agents\types.ts","lib","939","8B5DC605D544F0347C8E2BAEB98EC8DEE3570C5147BFDDF828ED146FBD525FAA","","MISSING"
"lib\ai.ts","lib","2653","30CAACB34547EE6EA2F48A39B58EAA6A0558688984B2D2FD58230A22E03D8C5A","","MISSING"
"lib\ai-openai.ts","lib","5841","525E4EE39947E375FA8B30CC6C679E49F18D101C135E8BDE9DCD606E7D55D29D","","MISSING"
"lib\auth\authorization.ts","lib","3403","1343A1A85FEB985462EE6CF3E44C37B8A915FC8AF029C3B63FB852D67444006B","","MISSING"
"lib\auth\password.ts","lib","915","CC2D4115B6B8A5B3D32EE5AF6462FFD710A7F321C8E0AC2E7A11EE7BFDD63922","","MISSING"
"lib\auth\session.ts","lib","1332","953FDCD705CE694297E649ADFDB65A38A2EE6709126917E2FCADBFBE2000A5CD","","MISSING"
"lib\auth\tenant.ts","lib","260","919CB58E24C0677C221A6023A02A97A762C2C5D217494508E16B60A2AD712BF5","","MISSING"
"lib\automation\service.ts","lib","8285","5A42251168B965724FE1751F23885FF737747F72773D79E9C0383BE6A7D3FC82","","MISSING"
"lib\automation\types.ts","lib","1040","7AFD700E43547FB1EDFBAE20A42D546A3C2CE72227B460F0674B97223CF981A1","","MISSING"
"lib\context-builder.ts","lib","4335","7D8FB8ED5064F738921B1C0B016E7C8A425F3FB5A7CF63DB10E39F8B27B62A68","","MISSING"
"lib\control-plane\capability-registry.ts","lib","1429","B45D167C3AB0899CAB77ABA7AB9D21B5C8F52C06BD648ED24005CD4DFC80BF62","","MISSING"
"lib\control-plane\evaluator.ts","lib","633","90070201143A3E3131EE49575356C6F23DD96C5CFA2065BD94AFA0D5FAB026AC","","MISSING"
"lib\control-plane\handoff.ts","lib","751","7F243D698E7E7B85EB15A94D117BD56C235C2F8BEF3079A06973BBB5D413D7D3","","MISSING"
"lib\control-plane\index.ts","lib","185","0FBA0D68313FD6AF4CE4801A7936159334C411A17253F9D435442F4334C9418B","","MISSING"
"lib\control-plane\model-router.ts","lib","808","76A53FA9C2EA8A15DCD5DB3A8B4C42C86890B9AD7B6EC42B87A8C98003D3DC5F","","MISSING"
"lib\control-plane\runtime.ts","lib","2794","7CEDC4E323BD6FB15EF1BB7C96E6E8A8C863360DEC814E5B2E62FB369478CDDE","","MISSING"
"lib\control-plane\state-machine.ts","lib","1119","9EEB87922AE54B45D8EE6FD1BE784FF56C0FD782A1047B27C8205FEFAABC7377","","MISSING"
"lib\control-plane\types.ts","lib","2909","A2EFBDA62569BBB7DBCB342CF09387226C6E931A1F12DAC33CE5333D042FF2FB","","MISSING"
"lib\crm\sales-intelligence.ts","lib","4555","39FE35C5B6A7437EBC6BD9249F51502871C93A230678EAFE1708FD1793BCFA43","","MISSING"
"lib\db\prisma.ts","lib","270","8FFF91875B6BE6C8F1F4A38CD9285DFE8FDC3BA889E89037287D24DC1C73CE45","","MISSING"
"lib\db\tenant.ts","lib","729","55B7AAD42B3219A03DA0B1BBFF4CC62FA66BDAD48D086874E1BCE7B13C98ECF4","","MISSING"
"lib\documents\extract.ts","lib","7269","DB1F5759436EFC9BC2A874E0CB14631DA713996E6724090E305A493BB701E22D","","MISSING"
"lib\documents\ingest.ts","lib","2832","9B6CDD088C2564C0B890142760FE53F94B3785763CB9B441F3BDC0C08F4C4521","","MISSING"
"lib\documents\storage.ts","lib","647","E59818E3425BDD690CC44651E5152F29C05E9E1BFD5AC61E4EDCDD2270DF922C","","MISSING"
"lib\documents\url.ts","lib","1546","B3D22D606026A7B93B1B3B86A2FABD34FFF4535EB7436EA37115387F6ECDCAB4","","MISSING"
"lib\entitlements\service.ts","lib","2659","892C244CE60FB39DB14D5C895F38D18C35DB6D23684104259F005D46EBD177C3","","MISSING"
"lib\marketing\service.ts","lib","7483","30528140976194A01EEBE8F9C84B397ED5F3107AE0EA740D76FEC1AAB94CC3FA","","MISSING"
"lib\memory.ts","lib","1574","24384FBA2B942F17000BC55CA4B9108B38E56607752579038EEB9716E64A0C18","","MISSING"
"lib\orchestrator.ts","lib","9629","F59D414331B6ABCEB769BEE9133311EF33135E53025C275A9D908774007F20B7","","MISSING"
"lib\rag.ts","lib","4120","20A9FF80C9429A0FEF4868A5FCFCA741E1F8CEDCCBB4EE119C1AC8B42611A68E","","MISSING"
"lib\tools\index.ts","lib","4673","B23D5C498AC7D767C0DAC67CC9EDBB0C9018ED9DB08ED570F9D94153D19C1A5A","","MISSING"
"lib\tools\registry.ts","lib","631","0AC650718209D8D4EA9AFFC90A8CD54EEFF1A288AF7B5B73ED660E705E480878","","MISSING"
"lib\tools\specs.ts","lib","2559","4143AA5DCE7865D2F0F7B0DDB65356D24CD8C7117B680212998E2A2C242613E3","","MISSING"
"lib\workflows\marketing-campaign.ts","lib","4520","8CA6AEC44DF8CEEF05470266A24D0E4F11B1C9BE3A77EF3820AEAD94BCAF9785","","MISSING"
"next.config.ts","next.config.ts","156","680FC9CA7FDBF74D656FEB469616FBA9FA5DD72CA33DE9AB806A23D94DCAB219","","MISSING"
"next-env.d.ts","next-env.d.ts","262","85AE5AEE75F011967CF2D25CBC342F62D69314E9D925F7F4AA3456FC2CFFCCA6","","MISSING"
"prisma\migrations\202608150001_v06_rag\migration.sql","prisma","966","A348BA761CF9733B2C777BCFE040032BE542D5956B40FAD97540323D4D790714","","MISSING"
"prisma\migrations\202608150002_v07_workflows\migration.sql","prisma","1623","0FC0E7D851B8BC8580A61375D2C190BFBD5AE42594942CF6687B6A85C9BE840B","","MISSING"
"prisma\migrations\202608150004_v14_document_intelligence\migration.sql","prisma","2644","B8CF66AE1EA91EF538063AB43C74FA2CE83A6E0DB0D31180859FC7CB28F2A8BE","","MISSING"
"prisma\migrations\202608150005_v15_crm_sales\migration.sql","prisma","2468","DB6A8A780C56BC96FACFFEAEA602CC8827244749ABCF17ECBB045D0D7B0BEB15","","MISSING"
"prisma\schema.prisma","prisma","43124","54D5CCFCEA48C2F18A686A4CAF592F322EB2ED7DF424E5DE7FBBA9DBF345F76A","","MISSING"
"prisma\seed.ts","prisma","5246","8157A1BD7F78BF1DCE24332AEB410E0F238CE2557BBBEAC8523BE7F743CBE1B8","","MISSING"
"scripts\bootstrap.ps1","scripts","354","A8AD4DBACEF5D8AABBC045EBDE877C40F8C103FB4B412D361D119E404FCE2BD4","","MISSING"
"scripts\bootstrap.sh","scripts","324","496516B25B39B7E52298EEF590786200EA59F73A1AEB7A957B84F9D256C64E2C","","MISSING"
"scripts\smoke-test.ts","scripts","807","F6D1C8734DFA7D787DCAB76A465C6D1633253763BB9B6E43FDDB9955467B69DE","","MISSING"
"scripts\validate-automation.mjs","scripts","731","616460B5E063C277AF679B1A1A3D31C4074013C5ADFE59D63C70B4866775DC11","","MISSING"
"scripts\validate-control-plane.mjs","scripts","1126","D966D9EA64FE7E868AD6321C61E94F9D432EA6F5C8475E5F35590C9A12AB7126","","MISSING"
"scripts\validate-crm-sales.mjs","scripts","755","33646340154169F813CDBF319ADA4B7631B6717D2F013BFA1ACED6EED26F84AF","","MISSING"
"scripts\validate-document-intelligence.mjs","scripts","1155","125262AB4D5B029D0BD29BA01E9E83B7CEDD15632EEE6235C470D1EFF39704D7","","MISSING"
"scripts\validate-marketing.mjs","scripts","995","2B2B2688D0AB5273474087859F1909F821AC441AA1CA97A2B7C705E9595AB7C0","","MISSING"
"scripts\validate-project.mjs","scripts","788","6AF061EDB75B08E55D39693A898B52AD2DF9B374DF1E738FA739A052842613C7","","MISSING"
"src\app\api\v1\admin\feature-flags\route.ts","src","302","B290133EA3248A45D30C6714336E92D4B66714647DED15FB9E87F8E5E0F8186B","","MISSING"
